,name,Year of release,Time duration,Rating of novie,Vote
2006,Jäniksen vuosi,1977,129 min,7.6,"1,310"
2007,Opening Night,1977,144 min,7.9,"10,905"
2008,Fragrance of Wild Flowers,1977,106 min,7.4,235
2009,Selvi Boylum Al Yazmalim,1977,90 min,8.5,"16,062"
2010,Çöpçüler Krali,1977,80 min,8.6,"20,315"
2011,The 36th Chamber of Shaolin,1978,116 min,7.7,"16,712"
2012,Blue Collar,1978,114 min,7.5,"9,288"
2013,"The Prophet, the Gold and the Transylvanians",1978,98 min,7.5,567
2014,Coming Home,1978,127 min,7.3,"13,732"
2015,Straight Time,1978,114 min,7.4,"8,928"
2016,Neseli Günler,1978,95 min,8.7,"11,280"
2017,The Last Waltz,1978,117 min,8.1,"18,264"
2018,The Place Without Limits,1978,110 min,7.6,"1,306"
2019,Po semeynym obstoyatelstvam,1978,128 min,7.7,968
2020,Don,1978,166 min,7.7,"12,346"
2021,The Shooting Party,1978,105 min,7.4,"1,066"
2022,The Tree of Wooden Clogs,1978,186 min,7.8,"6,314"
2023,Midnight Express,1978,121 min,7.5,"80,566"
2024,Violette,1978,124 min,7.1,"2,379"
2025,Molière,1978,260 min,7.6,841
2026,Ward Six,1978,97 min,7.4,202
2027,Grease,1978,110 min,7.2,"276,866"
2028,Occupation in 26 Pictures,1978,116 min,7.4,933
2029,Wodzirej,1978,104 min,7.6,768
2030,National Lampoon's Animal House,1978,109 min,7.4,"121,791"
2031,Adela Has Not Had Supper Yet,1978,102 min,7.5,"1,803"
2032,Oi tembelides tis eforis koiladas,1978,118 min,7.3,755
2033,Dawn of the Dead,1978,127 min,7.8,"121,742"
2034,Revansa,1978,101 min,7.8,749
2035,The Silent Partner,1978,106 min,7.4,"6,748"
2036,Days of Heaven,1978,94 min,7.8,"58,622"
2037,My Way Home,1978,71 min,7.4,779
2038,Drunken Master,1978,111 min,7.4,"40,651"
2039,Autumn Sonata,1978,99 min,8.1,"34,682"
2040,The Meetings of Anna,1978,128 min,7.4,"1,759"
2041,Watership Down,1978,91 min,7.6,"37,020"
2042,Halloween,1978,91 min,7.7,"280,864"
2043,Killer of Sheep,1978,80 min,7.2,"6,810"
2044,In a Year with 13 Moons,1978,124 min,7.4,"4,283"
2045,Toplo,1978,97 min,8.5,"1,107"
2046,"Same Time, Next Year",1978,119 min,7.2,"6,273"
2047,Without Anesthesia,1978,131 min,7.3,665
2048,Kibar Feyzo,1978,83 min,8.7,"16,418"
2049,The Deer Hunter,1978,183 min,8.1,"339,297"
2050,Superman,1978,143 min,7.4,"175,663"
2051,Invasion of the Body Snatchers,1978,115 min,7.4,"61,599"
2052,Heroes of the East,1978,105 min,7.6,"2,347"
2053,Beauty and the Beast,1978,91 min,7.5,"1,520"
2054,The Herd,1978,117 min,8.2,"4,967"
2055,Yüz Numarali Adam,1978,79 min,7.7,"5,685"
2056,Vlad Tepes,1979,114 min,7.6,"1,152"
2057,Joi Baba Felunath: The Elephant God,1979,112 min,7.9,"2,079"
2058,Desiderium,1978,111 min,8.3,"2,001"
2059,National Class Category Up to 785 Ccm,1979,105 min,8.4,"3,782"
2060,Nosferatu the Vampyre,1979,107 min,7.4,"36,926"
2061,Love on the Run,1979,94 min,7,"7,020"
2062,The Warriors,1979,93 min,7.5,"103,352"
2063,Nea Marin miliardar,1979,88 min,8.4,"3,650"
2064,The Marriage of Maria Braun,1979,120 min,7.7,"13,905"
2065,Christ Stopped at Eboli,1979,150 min,7.7,"2,492"
2066,Norma Rae,1979,114 min,7.3,"11,743"
2067,Death on the Nile,1978,140 min,7.2,"35,030"
2068,...And God Created Woman,1956,90 min,6.3,"8,604"
2069,Equilibrium,2002,107 min,7.3,"331,243"
2070,The China Syndrome,1979,122 min,7.4,"30,677"
2071,Hair,1979,121 min,7.5,"38,002"
2072,The Battle of Chile: Part III,1979,80 min,7.7,915
2073,A Respectable Life,1979,102 min,7.7,"1,167"
2074,The Maids of Wilko,1979,118 min,7.4,"1,318"
2075,Mad Max,1979,88 min,6.8,"208,385"
2076,Manhattan,1979,96 min,7.9,"140,783"
2077,Hanky Panky,1979,120 min,8.5,"19,264"
2078,Vengeance Is Mine,1979,139 min,7.7,"6,656"
2079,Serie Noire,1979,116 min,7.4,"3,185"
2080,A Little Romance,1979,110 min,7.4,"5,917"
2081,The Tin Drum,1979,142 min,7.5,"24,476"
2082,The Unknown Soldier's Patent Leather Shoes,1979,85 min,7.7,308
2083,Quadrophenia,1979,120 min,7.2,"19,296"
2084,The Kids Are Alright,1979,109 min,8,"3,811"
2085,My Brilliant Career,1979,100 min,7.1,"4,431"
2086,Five Evenings,1979,108 min,7.6,"1,307"
2087,Apocalypse Now,1979,147 min,8.5,"664,907"
2088,Siberiade,1979,190 min,8,"2,148"
2089,Stalker,1979,162 min,8.1,"134,472"
2090,The Muppet Movie,1979,95 min,7.6,"36,511"
2091,Rocky II,1979,119 min,7.3,"210,312"
2092,The In-Laws,1979,103 min,7.3,"8,918"
2093,Escape from Alcatraz,1979,112 min,7.6,"136,412"
2094,The Days on Earth Are Flowing,1979,87 min,7.3,116
2095,The Wanderers,1979,112 min,7.3,"11,481"
2096,Drugstore Romance,1979,126 min,7.5,177
2097,Over the Edge,1979,95 min,7.3,"7,240"
2098,Raining in the Mountain,1979,120 min,7.4,"1,101"
2099,Breaking Away,1979,101 min,7.7,"24,014"
2100,Kulový blesk,1979,82 min,7.7,758
2101,Life Sentence,1979,95 min,7.2,366
2102,Doing Time,1979,93 min,7.2,"3,138"
2103,Rust Never Sleeps,1979,108 min,8.1,944
2104,Life of Brian,1979,94 min,8,"399,652"
2105,Camera Buff,1979,112 min,7.8,"7,412"
2106,Autumn Marathon,1979,90 min,7.8,"3,305"
2107,Ziggy Stardust and the Spiders from Mars,1979,90 min,7.5,"2,670"
2108,Que Viva Mexico,1979,90 min,7.4,"1,769"
2109,Scum,1979,98 min,7.6,"11,916"
2110,Legend of the Mountain,1979,192 min,7.4,958
2111,And Justice for All,1979,119 min,7.4,"35,366"
2112,The Man Who Stole the Sun,1979,147 min,7.6,"1,042"
2113,The War at Home,1979,100 min,7.7,260
2114,The Black Stallion,1979,118 min,7.4,"12,986"
2115,Tess,1979,186 min,7.3,"16,907"
2116,The Great Santini,1979,115 min,7.2,"6,432"
2117,Don Giovanni,1979,176 min,7.6,"1,237"
2118,French Fried Vacation 2,1979,90 min,7.4,"8,431"
2119,Voynata na taralezhite,1979,99 min,9,845
2120,Kramer vs. Kramer,1979,105 min,7.8,"145,898"
2121,Vsichko e lyubov,1979,102 min,8.2,621
2122,All That Jazz,1979,123 min,7.8,"32,323"
2123,Buffet Froid,1979,89 min,7.3,"5,919"
2124,I... For Icarus,1979,120 min,7.9,"4,053"
2125,Being There,1979,130 min,8,"73,058"
2126,Égigérö fü,1979,80 min,7.9,451
2127,Bash maystorat na ekskurziya,1980,71 min,8.1,193
2128,Confidence,1980,105 min,7.5,880
2129,Moscow Does Not Believe in Tears,1980,150 min,8.1,"13,120"
2130,Petrijin venac,1980,99 min,8.2,752
2131,Les bons débarras,1980,120 min,8,733
2132,Coal Miner's Daughter,1980,124 min,7.5,"19,127"
2133,The Garage,1980,96 min,8.1,"3,860"
2134,Dvoynikat,1980,98 min,8.4,671
2135,Microphone Test,1980,104 min,7.5,393
2136,Kagemusha,1980,162 min,7.9,"35,932"
2137,Ekipazh,1980,144 min,7.4,"2,470"
2138,A Few Days from the Life of I.I. Oblomov,1980,140 min,7.6,"2,334"
2139,Breaker Morant,1980,107 min,7.8,"13,650"
2140,Star Wars: Episode V - The Empire Strikes Back,1980,124 min,8.7,"1,284,349"
2141,My American Uncle,1980,125 min,7.6,"6,216"
2142,The Shining,1980,146 min,8.4,"1,015,463"
2143,The Blues Brothers,1980,133 min,7.9,"200,214"
2144,Who's Singin' Over There?,1980,86 min,8.8,"15,594"
2145,Airplane!,1980,88 min,7.7,"239,835"
2146,Dressed to Kill,1980,104 min,7.1,"42,500"
2147,The Long Good Friday,1980,114 min,7.6,"22,227"
2148,Atlantic City,1980,104 min,7.3,"17,043"
2149,Alexander the Great,1980,210 min,7.5,"1,037"
2150,Zübük,1980,88 min,8.5,"9,976"
2151,The Last Metro,1980,131 min,7.4,"14,417"
2152,Ordinary People,1980,124 min,7.7,"52,681"
2153,Pixote,1980,128 min,7.9,"8,169"
2154,The Elephant Man,1980,124 min,8.2,"241,318"
2155,Raging Bull,1980,129 min,8.2,"353,744"
2156,All That Jack's,1980,83 min,8.1,"1,395"
2157,Superman II,1980,127 min,6.8,"108,124"
2158,Dami kanyat,1980,95 min,7.9,867
2159,Lion of the Desert,1980,173 min,8.2,"15,970"
2160,Il bisbetico domato,1980,107 min,7.6,"8,459"
2161,Superman II: The Richard Donner Cut,1980,115 min,7.6,"17,230"
2162,Mercenaries' Trap,1981,111 min,7.7,417
2163,Muddy River,1981,105 min,7.9,931
2164,"Run, Waiter, Run!",1981,88 min,8,"2,071"
2165,Cutting it Short,1981,93 min,7.7,"2,466"
2166,You Love Only Once,1981,103 min,7.2,454
2167,Mephisto,1981,146 min,7.7,"10,805"
2168,The Aviator's Wife,1981,106 min,7.5,"4,659"
2169,Blood Wedding,1981,67 min,7.5,"1,797"
2170,Love and Lies,1981,90 min,7.9,"1,678"
2171,Thief,1981,123 min,7.4,"32,957"
2172,Christiane F.,1981,138 min,7.5,"25,804"
2173,Les Plouffe,1981,227 min,7.9,466
2174,Do You Remember Dolly Bell?,1981,110 min,7.6,"6,406"
2175,Mis,1981,111 min,8.2,"6,131"
2176,Francisca,1981,166 min,7.1,522
2177,Man of Iron,1981,156 min,7.3,"3,510"
2178,Bash maystorat fermer,1981,75 min,7.9,175
2179,Possession,1981,124 min,7.3,"32,912"
2180,Raiders of the Lost Ark,1981,115 min,8.4,"961,454"
2181,Duelul,1981,105 min,7.4,571
2182,For Your Eyes Only,1981,127 min,6.7,"102,250"
2183,Blow Out,1981,108 min,7.4,"54,304"
2184,The Fox and the Hound,1981,83 min,7.2,"94,070"
2185,Der Bockerer,1981,104 min,8.2,952
2186,Sezona mira u Parizu,1981,102 min,6.2,122
2187,Time for Revenge,1981,112 min,7.8,"1,156"
2188,Gallipoli,1981,110 min,7.4,"39,992"
2189,Prince of the City,1981,167 min,7.4,"8,498"
2190,Lola,1981,115 min,7.4,"6,223"
2191,An American Werewolf in London,1981,97 min,7.5,"108,813"
2192,Body Heat,1981,113 min,7.4,"36,200"
2193,The Grilling,1981,87 min,7.7,"4,870"
2194,The Killing of America,1981,90 min,7.6,"2,153"
2195,They Don't Wear Black Tie,1981,120 min,8.2,"1,571"
2196,Marianne & Juliane,1981,106 min,7.4,"2,370"
2197,The Boat,1981,149 min,8.4,"251,158"
2198,The Woman Next Door,1981,106 min,7.2,"8,143"
2199,My Dinner with Andre,1981,110 min,7.7,"22,068"
2200,Mathe paidi mou grammata,1981,96 min,8.1,"1,064"
2201,The Evil Dead,1981,85 min,7.4,"211,025"
2202,Circle of Deceit,1981,108 min,7.1,906
2203,Aszparuh,1981,323 min,8.7,898
2204,The Professional,1981,108 min,7.4,"15,804"
2205,Son of the White Mare,1981,86 min,7.8,"2,320"
2206,A Nameless Band,1981,112 min,8.8,"2,207"
2207,Vabank,1981,108 min,7.9,"4,494"
2208,Coup de Torchon,1981,128 min,7.4,"6,093"
2209,On Golden Pond,1981,109 min,7.6,"31,896"
2210,Il marchese del Grillo,1981,135 min,7.7,"3,559"
2211,The Road Warrior,1981,96 min,7.6,"181,568"
2212,The Promising Boy,1981,106 min,7.9,"1,535"
2213,Davaro: Son Eskiya,1981,94 min,8.1,"8,940"
2214,Carnival Scenes,1981,119 min,7.8,910
2215,Muzhiki!,1981,94 min,7.6,741
2216,Missing,1982,122 min,7.7,"21,745"
2217,The Simple-Minded Murderer,1982,108 min,7.6,"3,375"
2218,Lavina,1982,153 min,8.1,205
2219,Veronika Voss,1982,104 min,7.7,"7,126"
2220,Fitzcarraldo,1982,158 min,8,"35,412"
2221,Maratonci trce pocasni krug,1982,92 min,8.9,"15,974"
2222,Conan the Barbarian,1982,129 min,6.9,"150,607"
2223,Victor/Victoria,1982,134 min,7.6,"21,999"
2224,The Atomic Cafe,1982,86 min,7.6,"4,244"
2225,Burden of Dreams,1982,95 min,7.9,"7,390"
2226,Family Relations,1982,98 min,7.4,"1,452"
2227,Death of Yazdgerd,1982,110 min,8.4,"1,076"
2228,The Quack,1982,128 min,7.8,"2,937"
2229,Koyaanisqatsi,1982,86 min,8.2,"38,766"
2230,The Return of Martin Guerre,1982,112 min,7.4,"4,494"
2231,Yol,1982,107 min,8,"13,732"
2232,Parsifal,1982,255 min,7.6,302
2233,Poltergeist,1982,114 min,7.3,"165,550"
2234,Star Trek II: The Wrath of Khan,1982,113 min,7.7,"122,258"
2235,Pink Floyd: The Wall,1982,95 min,8,"81,492"
2236,Kuche v chekmedzhe,1982,80 min,8.3,462
2237,E.T. the Extra-Terrestrial,1982,115 min,7.9,"408,967"
2238,Time Stands Still,1982,99 min,7.6,"1,387"
2239,Rat-Trap,1982,121 min,7.5,527
2240,The Thing,1982,109 min,8.2,"424,077"
2241,Blade Runner,1982,117 min,8.1,"766,385"
2242,The Secret of NIMH,1982,82 min,7.5,"41,737"
2243,Variola Vera,1982,110 min,8.1,"2,761"
2244,The Grey Fox,1982,92 min,7.4,"2,173"
2245,Dögkeselyü,1982,115 min,7.9,"1,150"
2246,Santa Claus Is a Stinker,1982,88 min,7.5,"9,534"
2247,Çiçek Abbas,1982,87 min,8,"10,520"
2248,Konopielka,1982,92 min,7.6,769
2249,The Verdict,1982,129 min,7.7,"40,903"
2250,Sophie's Choice,1982,150 min,7.5,"48,627"
2251,La traviata,1982,109 min,7.7,"1,438"
2252,Fanny and Alexander,1982,188 min,8.1,"64,005"
2253,Something in Between,1982,105 min,7.4,398
2254,The King of Comedy,1982,109 min,7.8,"104,436"
2255,Amici miei - Atto II°,1982,127 min,7.6,"3,082"
2256,Miracle,1982,124 min,8.1,757
2257,Moral,1982,140 min,7,131
2258,Sawak al-utubis,1982,107 min,7.8,606
2259,Danton,1983,136 min,7.4,"7,202"
2260,Slyozy kapali,1983,84 min,7.8,709
2261,Flights in Dreams and in Reality,1983,92 min,7.5,"1,210"
2262,Balkan ekspres,1983,102 min,7.8,"2,561"
2263,I Enjoy the World with You,1983,82 min,7.7,"1,383"
2264,Bash maystorat nachalnik,1983,74 min,8.2,172
2265,Videodrome,1983,87 min,7.2,"94,441"
2266,Vokzal dlya dvoikh,1983,141 min,7.8,"3,310"
2267,Pauline at the Beach,1983,95 min,7.3,"9,642"
2268,Sans Soleil,1983,100 min,7.8,"11,122"
2269,Utopia,1983,198 min,7.7,285
2270,Farewell,1983,121 min,7.5,689
2271,Deadly Circuit,1983,120 min,7,"2,534"
2272,Antarctica,1983,143 min,7.6,"1,657"
2273,The Meaning of Life,1983,107 min,7.5,"120,468"
2274,State buoni se potete,1983,115 min,8,"1,373"
2275,"That Day, on the Beach",1983,166 min,7.6,"1,145"
2276,The Ballad of Narayama,1983,130 min,7.8,"8,379"
2277,Gospodin za edin den,1983,87 min,8.5,"1,297"
2278,Nostalghia,1983,125 min,8,"27,393"
2279,The Wall,1983,117 min,8,"4,233"
2280,El Sur,1983,95 min,7.8,"5,351"
2281,Star Wars: Episode VI - Return of the Jedi,1983,131 min,8.3,"1,048,417"
2282,Trading Places,1983,116 min,7.5,"152,173"
2283,Zelig,1983,79 min,7.7,"42,363"
2284,Carmen,I 1983,102 min,7.5,"3,308"
2285,One Deadly Summer,1983,133 min,7.3,"4,886"
2286,L'Argent,1983,85 min,7.4,"10,275"
2287,Bez svideteley,1983,95 min,7.4,577
2288,Metropolitan,1990,98 min,7.3,"11,440"
2289,Hamoun,1990,120 min,8,"6,924"
2290,Nikita,1990,117 min,7.3,"72,666"
2291,The Hunt for Red October,1990,135 min,7.5,"200,964"
2292,Reis Bey,1990,80 min,7.6,749
2293,Cyrano de Bergerac,1990,137 min,7.5,"24,534"
2294,Teenage Mutant Ninja Turtles,1990,93 min,6.7,"94,974"
2295,Dezha vyu,1990,108 min,7.5,"1,408"
2296,Ju Dou,1990,95 min,7.6,"8,498"
2297,Korczak,1990,118 min,7.4,"1,461"
2298,Dreams,1990,119 min,7.7,"26,754"
2299,Wild at Heart,1990,125 min,7.2,"94,064"
2300,Everybody's Fine,1990,118 min,7.7,"4,086"
2301,Total Recall,1990,113 min,7.5,"331,352"
2302,Freeze Die Come to Life,1990,105 min,7.6,882
2303,Paris Is Burning,1990,71 min,8.1,"15,709"
2304,An Angel at My Table,1990,158 min,7.5,"7,961"
2305,Journey of Hope,1990,105 min,7.5,"2,117"
2306,Bullet in the Head,1990,136 min,7.5,"10,906"
2307,Carobnjakov sesir,1990,75 min,8.4,711
2308,My Father's Glory,1990,105 min,7.6,"6,619"
2309,Goodfellas,1990,145 min,8.7,"1,152,109"
2310,Trust,1990,107 min,7.4,"11,436"
2311,Mindwalk,1990,112 min,7.6,"3,120"
2312,Rosencrantz & Guildenstern Are Dead,1990,117 min,7.3,"22,659"
2313,Miller's Crossing,1990,115 min,7.7,"135,933"
2314,A Holy Place,1990,90 min,7.1,"1,104"
2315,American Dream,1990,98 min,7.8,892
2316,Dances with Wolves,1990,181 min,8,"265,729"
2317,My Mother's Castle,1990,98 min,7.6,"5,309"
2318,Jacob's Ladder,I 1990,113 min,7.4,"109,313"
2319,Strangers in Good Company,1990,101 min,7.7,"1,091"
2320,Europa Europa,1990,112 min,7.6,"16,501"
2321,Life Is Sweet,1990,103 min,7.4,"10,544"
2322,Misery,1990,107 min,7.8,"212,614"
2323,Edward Scissorhands,1990,105 min,7.9,"490,474"
2324,Awakenings,1990,121 min,7.8,"142,261"
2325,Days of Being Wild,1990,94 min,7.5,"22,712"
2326,The Exorcist III: Legion,1990,105 min,7.4,"1,015"
2327,Cloud-Paradise,1990,76 min,7.8,704
2328,The Silence of the Lambs,1991,118 min,8.6,"1,422,470"
2329,Mediterraneo,1991,96 min,7.4,"15,480"
2330,"Attention, Papa Arrives!",1991,89 min,7.9,"5,438"
2331,Virgina,1991,101 min,7.5,529
2332,Delicatessen,1991,99 min,7.6,"85,864"
2333,Europa,1991,112 min,7.6,"21,586"
2334,Boyz n the Hood,1991,112 min,7.8,"141,495"
2335,The Beautiful Troublemaker,1991,238 min,7.5,"8,494"
2336,The Double Life of Véronique,1991,98 min,7.7,"49,108"
2337,Jacquot de Nantes,1991,118 min,7.7,"1,716"
2338,Toto le héros,1991,91 min,7.5,"5,956"
2339,Barton Fink,1991,116 min,7.6,"122,453"
2340,Thelma & Louise,1991,130 min,7.5,"155,952"
2341,Hearts of Darkness: A Filmmaker's Apocalypse,1991,96 min,8.1,"21,599"
2342,Terminator 2: Judgment Day,1991,137 min,8.6,"1,092,855"
2343,A Brighter Summer Day,1991,237 min,8.3,"10,588"
2344,The Elementary School,1991,100 min,7.8,"3,057"
2345,The Commitments,1991,118 min,7.6,"36,029"
2346,Close to Eden,1991,119 min,7.6,"3,690"
2347,The Suspended Step of the Stork,1991,143 min,7.6,"2,530"
2348,The Fisher King,1991,137 min,7.5,"86,129"
2349,Raise the Red Lantern,1991,125 min,8.1,"32,989"
2350,Dogfight,1991,94 min,7.4,"9,354"
2351,Beauty and the Beast,1991,84 min,8,"454,257"
2352,A Scene at the Sea,1991,101 min,7.5,"6,072"
2353,Night on Earth,1991,129 min,7.7,"61,085"
2354,Cape Fear,1991,128 min,7.3,"195,983"
2355,Frankie and Johnny,1991,118 min,6.7,"32,152"
2356,The Lovers on the Bridge,1991,125 min,7.6,"14,280"
2357,JFK,1991,189 min,8,"156,741"
2358,Tous les matins du monde,1991,115 min,7.5,"7,403"
2359,Fried Green Tomatoes,1991,130 min,7.7,"75,513"
2360,Kit Kat,1991,129 min,8.2,"2,302"
2361,Cilveka berns,1992,98 min,7.9,481
2362,Reservoir Dogs,1992,99 min,8.3,"1,012,544"
2363,A Tale of Winter,1992,114 min,7.2,"5,358"
2364,Brother's Keeper,1992,104 min,7.5,"4,147"
2365,Divertimento,1992,125 min,7.5,665
2366,And Life Goes On,1992,95 min,7.9,"6,322"
2367,Tango Argentino,1992,91 min,7.2,792
2368,The Bohemian Life,1992,103 min,7.6,"5,703"
2369,Howards End,1992,142 min,7.4,"32,910"
2370,Il ladro di bambini,1992,114 min,7.6,"2,713"
2371,Tito and Me,1992,104 min,8,"5,785"
2372,My Cousin Vinny,1992,120 min,7.6,"125,568"
2373,Basic Instinct,1992,127 min,7,"200,971"
2374,Noises Off...,1992,101 min,7.5,"11,462"
2375,The Player,1992,124 min,7.5,"61,187"
2376,Hard Boiled,1992,128 min,7.7,"50,942"
2377,Monster in a Box,1992,87 min,7.5,841
2378,Incident at Oglala,1992,89 min,7.6,"1,231"
2379,Hyenas,1992,110 min,7.4,"1,153"
2380,Bad Lieutenant,1992,96 min,7,"43,728"
2381,Visions of Light,1992,92 min,7.7,"3,239"
2382,Twin Peaks: Fire Walk with Me,1992,134 min,7.2,"97,658"
2383,For a Lost Soldier,1992,92 min,7.6,"4,576"
2384,We Are Not Angels,1992,98 min,8.3,"8,912"
2385,Man Bites Dog,1992,95 min,7.4,"41,409"
2386,Braindead,1992,104 min,7.5,"98,112"
2387,Cerní baroni,1992,99 min,7.7,730
2388,The Terrorism and the Kebab,1992,105 min,7.7,"2,778"
2389,The Black Bomber,1992,116 min,7.8,"3,372"
2390,Batman Returns,1992,126 min,7.1,"305,820"
2391,Little Sharks,1992,87 min,7.5,"1,384"
2392,Bitter Moon,1992,139 min,7.2,"39,550"
2393,Dark Horse,1992,98 min,7.8,896
2394,Porco Rosso,1992,94 min,7.7,"90,236"
2395,The Panama Deception,1992,91 min,7.5,"1,114"
2396,Unforgiven,1992,130 min,8.2,"411,756"
2397,The Last of the Mohicans,1992,112 min,7.7,"170,983"
2398,Daens,1992,138 min,7.6,"4,156"
2399,"Olivier, Olivier",1992,110 min,7.5,"1,791"
2400,The Oak,1992,105 min,7.9,"3,352"
2401,Of Mice and Men,1992,115 min,7.5,"44,177"
2402,Husbands and Wives,1992,108 min,7.5,"29,591"
2403,The Story of Qiu Ju,1992,100 min,7.6,"6,190"
2404,Glengarry Glen Ross,1992,100 min,7.7,"106,126"
2405,Baraka,1992,96 min,8.5,"39,149"
2406,Remote Control,1992,78 min,7.6,"1,105"
2407,Army of Darkness,1992,81 min,7.4,"179,360"
2408,Videogramme einer Revolution,1992,106 min,8.1,580
2409,Un Coeur en Hiver,1992,105 min,7.6,"10,030"
2410,Manufacturing Consent: Noam Chomsky and the Media,1992,167 min,8.1,"4,785"
2411,Aladdin,1992,90 min,8,"418,498"
2412,Dracula,1992,128 min,7.4,"218,815"
2413,Malcolm X,1992,202 min,7.7,"95,191"
2414,Psy,1992,104 min,7.6,"5,030"
2415,In the Land of the Deaf,1992,99 min,7.6,350
2416,The Inheritance or Fuckoffguysgoodday,1992,120 min,7.7,"2,459"
2417,Hill of No Return,1992,165 min,8.2,311
2418,The Muppet Christmas Carol,1992,85 min,7.7,"58,585"
2419,Damage,1992,111 min,6.7,"18,642"
2420,Chaplin,1992,143 min,7.5,"58,140"
2421,Rebels of the Neon God,1992,106 min,7.6,"4,786"
2422,Udzinarta mze,1992,123 min,8.5,"1,554"
2423,Farewell My Concubine,1993,171 min,8.1,"29,345"
2424,Sose halunk meg,1993,95 min,7.7,"1,857"
2425,Stalingrad,1993,134 min,7.5,"35,376"
2426,Les visiteurs,1993,107 min,7,"35,388"
2427,Silverlake Life: The View from Here,1993,99 min,8.1,494
2428,Groundhog Day,1993,101 min,8.1,"629,388"
2429,"Blood In, Blood Out",1993,180 min,7.9,"31,663"
2430,Gölge Oyunu,1993,103 min,7.8,"3,432"
2431,Dönersen Islik Çal,1993,84 min,7.4,"1,794"
2432,Falling Down,1993,113 min,7.6,"191,023"
2433,The Wedding Banquet,1993,106 min,7.6,"15,832"
2434,Mercedes mon amour,1993,90 min,7.8,"2,953"
2435,Ohikkoshi,1993,125 min,7.7,452
2436,The Last Bolshevik,1993,120 min,7.9,688
2437,The Sandlot,1993,101 min,7.8,"92,985"
2438,Three Tickets to Hollywood,1993,118 min,7.8,"2,103"
2439,Sopyonje,1993,112 min,7.6,"1,022"
2440,Time Indefinite,1993,114 min,7.7,392
2441,Naked,1993,131 min,7.7,"39,908"
2442,The Piano,1993,121 min,7.5,"89,105"
2443,Sonatine,1993,94 min,7.5,"21,593"
2444,King of the Hill,1993,103 min,7.4,"8,432"
2445,Latcho Drom,1993,103 min,8.1,"2,036"
2446,Lan feng zheng,1993,140 min,7.5,"3,019"
2447,Menace II Society,1993,97 min,7.5,"59,410"
2448,Abraham's Valley,1993,187 min,7.3,"1,419"
2449,Dazed and Confused,1993,103 min,7.6,"184,739"
2450,Jurassic Park,1993,127 min,8.2,"983,496"
2451,Better Than Escape,1993,110 min,7.5,472
2452,The Fugitive,1993,130 min,7.8,"295,742"
2453,Searching for Bobby Fischer,1993,109 min,7.4,"40,500"
2454,Three Colors: Blue,1993,94 min,7.9,"102,588"
2455,Iron Monkey,1993,85 min,7.5,"16,534"
2456,True Romance,1993,119 min,7.9,"227,511"
2457,A Bronx Tale,1993,121 min,7.8,"142,764"
2458,La estrategia del caracol,1993,116 min,7.8,"2,595"
2459,The Joy Luck Club,1993,139 min,7.7,"17,023"
2460,The Bed You Sleep In,1993,117 min,7.5,268
2461,Rudy,1993,114 min,7.5,"64,275"
2462,The Beginning and the End,1993,188 min,7.9,431
2463,Kanehsatake: 270 Years of Resistance,1993,119 min,8,390
2464,What's Eating Gilbert Grape,1993,118 min,7.7,"238,132"
2465,The Gospel According to Matthew,1993,258 min,7.8,987
2466,Window to Paris,1993,115 min,7.4,"1,503"
2467,Gettysburg,1993,271 min,7.6,"29,532"
2468,The Nightmare Before Christmas,1993,76 min,7.9,"338,068"
2469,The Remains of the Day,1993,134 min,7.8,"75,036"
2470,Carlito's Way,1993,144 min,7.9,"219,005"
2471,"C'est la vie, mon chéri",1993,105 min,7.7,874
2472,A Perfect World,1993,138 min,7.5,"81,395"
2473,Schindler's List,1993,195 min,9,"1,346,811"
2474,The Crow,1994,102 min,7.5,"185,353"
2475,The Legend of Drunken Master,1994,102 min,7.5,"46,406"
2476,Through the Olive Trees,1994,103 min,7.7,"8,726"
2477,Hoop Dreams,1994,170 min,8.3,"26,590"
2478,Fresh,1994,114 min,7.5,"13,566"
2479,Clerks,1994,92 min,7.7,"223,622"
2480,"The Adventures of Priscilla, Queen of the Desert",1994,104 min,7.5,"50,901"
2481,In the Name of the Father,1993,133 min,8.1,"175,412"
2482,Philadelphia,1993,125 min,7.7,"242,693"
2483,Tombstone,1993,130 min,7.8,"149,743"
2484,Batman: Mask of the Phantasm,1993,76 min,7.8,"51,432"
2485,Shadowlands,1993,131 min,7.4,"19,116"
2486,Strawberry & Chocolate,1993,108 min,7.4,"5,722"
2487,Three Colors: White,1994,92 min,7.6,"74,033"
2488,Burnt by the Sun,1994,135 min,7.8,"15,550"
2489,Satantango,1994,439 min,8.3,"11,252"
2490,Joan the Maid 1: The Battles,1994,160 min,7.2,721
2491,Joan the Maid 2: The Prisons,1994,176 min,7.4,622
2492,Oglinda,1994,160 min,7.5,462
2493,Anna ot 6 do 18,1994,100 min,7.4,711
2494,The Last Seduction,1994,110 min,7,"23,720"
2495,Ladybird Ladybird,1994,101 min,7.4,"3,574"
2496,Fear City: A Family-Style Comedy,1994,100 min,7.5,"9,618"
2497,Hail the Judge,1994,106 min,7.5,"4,154"
2498,Saturnin,1994,97 min,7.7,414
2499,The Cow,1994,86 min,7.6,267
2500,That's Entertainment! III,1994,113 min,7.5,"1,683"
2501,Queen Margot,1994,159 min,7.4,"17,848"
2502,Eat Drink Man Woman,1994,124 min,7.8,"21,368"
